name,artist_1,artist_2,uri,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
The Sea,'Corinne Bailey Rae',,spotify:track:3ropk12Lzi9g9C7189OoHL,244509,0.419,0.181,0,-16.114,1,0.0393,0.823,0.000461,0.297,0.18,114.564
Let's Stay Together,'Obadiah Parker',,spotify:track:75q69wO42dZP8VHnEAtPZe,242281,0.812,0.239,4,-14.961,1,0.0718,0.442,6.19e-06,0.109,0.509,95.009
Thirteen,'Obadiah Parker',,spotify:track:0U3IKoycdGQ424Y8caHGuh,180625,0.84,0.211,7,-12.298,1,0.039,0.659,7.28e-06,0.101,0.483,107.045
Hey Ya - solo version,'Obadiah Parker',,spotify:track:6QeLUyIfNHCJhEMSPGwDgi,298801,0.661,0.184,1,-13.644,0,0.038,0.665,0.0,0.106,0.357,140.006
Mash You Down,'Cornell Campbell',,spotify:track:2EzCxbDJBHb9EyFb4jbWtT,162227,0.679,0.607,11,-8.436,0,0.0684,0.0104,0.00992,0.334,0.934,82.068
Acoustic Moody,'Alberto Tarin Reggae Band',,spotify:track:6zVKhBXSww9k3WOmvU6IJO,195253,0.756,0.39,7,-15.109,1,0.0499,0.141,0.532,0.118,0.967,142.02
Africa Is Rising,'Trevy Felix',,spotify:track:2CHDDzUocPySiNW6SUkP0y,268320,0.768,0.36,7,-9.033,1,0.35,0.306,3.31e-05,0.2,0.459,161.823
My Love,'Trevy Felix',,spotify:track:5yjIQe3gexzAlsHCZpTl6Q,221200,0.591,0.541,7,-7.313,1,0.0487,0.488,2.04e-05,0.139,0.656,84.698
Vermelho,'Vanessa Da Mata',,spotify:track:2l4XM04ULCUQ3G3hsLgkle,223330,0.674,0.729,7,-7.631,0,0.0364,0.178,0.205,0.286,0.748,143.941
Solito,'José Padilla',,spotify:track:4rR3SLCS9aVUcn5uin2JV5,456564,0.425,0.604,8,-15.036,1,0.0561,0.489,0.943,0.146,0.339,194.018
Danger Modo,'Mister Modo & Ugly Mac Beer',,spotify:track:0QvBAF6XagCtPO1VJCPrNo,162333,0.774,0.543,5,-6.334,1,0.0446,0.0214,0.769,0.188,0.691,76.953
You Won't See Me,'Gábor Szabó',,spotify:track:4IIsmbNUm7y5ukb7T3oaxb,225147,0.459,0.286,5,-19.597,1,0.0356,0.841,0.926,0.16,0.18,100.039
Bang Bang (My Baby Shot Me Down),'Gábor Szabó', 'Sonny Bono',spotify:track:4vMPsj8iwHk6WZhI1CgF96,146267,0.455,0.376,7,-13.482,0,0.0311,0.905,0.195,0.115,0.464,96.527
Solo un Delay,'Tuccinelli',,spotify:track:3jDL31ZAobdS7bTk3Jcmyt,263607,0.773,0.619,6,-11.529,0,0.0661,0.0888,0.85,0.112,0.357,113.005
Bade Malou,'Afrolicious',,spotify:track:4x4PoaGvWhvZYG5f5C0GGb,253985,0.667,0.53,8,-11.738,0,0.0308,0.39,0.168,0.091,0.747,122.975
Corcovado - Quiet Nights Of Quiet Stars,'Stan Getz', 'João Gilberto',spotify:track:5i2sgqnzaxYpvXmGAB592h,253933,0.524,0.108,0,-18.361,1,0.0493,0.957,0.00123,0.139,0.322,127.982
Waiting For A Break,'Day One',,spotify:track:0r4RyzEwbNSnyfdcdk1NI3,228600,0.89,0.388,1,-8.395,1,0.0917,0.012,0.0165,0.118,0.681,93.795
Gallows Tree (Gallows Pole),'Odetta',,spotify:track:3rcvoPyqP8wAjPPTOy9Yj8,171707,0.516,0.423,10,-9.528,0,0.0298,0.397,0.00462,0.117,0.551,101.099
